Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-00005141,Harkaway Primary School,PR-00002690,Harkaway Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,65 - 67 King Road,,HARKAWAY,3806,VIC,harkaway.ps@edumail.vic.gov.au,397071475,65-67 King Road,HARKAWAY,Working Towards NQS
SE-00005143,Burwood Heights PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Corner Hawthorn Road and Mahoneys Road,,BURWOOD EAST,3151,VIC,burwoodheights@theircare.com.au,405614862,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005144,Camp Australia - St John Vianney Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,23 Police Rd,,MULGRAVE,3170,VIC,opsadmin@campaustralia.com.au,423793662,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005145,Baby Bells Child Care Centre,PR-00002691,Baby Bells Pty Ltd ATF BBCC TRUST No. 1,Private for profit,VIC,Centre-Based Care,2012/1/1,1A Fitzpatrick Drive,,ALTONA MEADOWS,3028,VIC,babybells@bigpond.com,383609609,"1A Fitzpatrick Drive,",ALTONA MEADOWS,Working Towards NQS
SE-00005146,Rye PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Lyons Street,,RYE,3941,VIC,rye@theircare.com.au,1300105343,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005147,Big Childcare - Parkwood Green PS OSHC,PR-40004334,Big Childcare Pty Ltd ATF Big Childcare Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,Cnr Gourlay Rd & Community Hub,,HILLSIDE,3037,VIC,parkwoodgreen@bigchildcare.com,386829400,PO Box 343,NIDDRIE,Meeting NQS
SE-00005148,Big Childcare - Sydenham/Hillside PS - Hillside Campus,PR-40004334,Big Childcare Pty Ltd ATF Big Childcare Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,Wattle Valley Drive,,HILLSIDE,3037,VIC,hillside@bigchildcare.com,393615473,PO Box 343,NIDDRIE,Exceeding NQS
SE-00005149,Big Childcare – Sydenham/Hillside Sydenham Campus,PR-40004334,Big Childcare Pty Ltd ATF Big Childcare Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,Community Hub,,SYDENHAM,3037,VIC,sydenham@bigchildcare.com,386829400,PO Box 343,NIDDRIE,Exceeding NQS
SE-00005150,Camp Australia - Lysterfield Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Bellfield Drive,,LYSTERFIELD,3156,VIC,opsadmin@campaustralia.com.au,423794779,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005151,Camp Australia - St Leonards Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,349 Springvale Road,,GLEN WAVERLEY,3150,VIC,opsadmin@campaustralia.com.au,413597873,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005152,Maroondah Family Day Care,PR-00001657,Maroondah City Council,State/Territory and Local Government managed,VIC,Family Day Care,2012/1/1,28 Warrandyte Road,,RINGWOOD,3134,VIC,natalie.godley@maroondah.vic.gov.au,392945741,PO Box 156,RINGWOOD,Exceeding NQS
SE-00005153,Holy Trinity CPS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,10 Riddell Road,,WANTIRNA SOUTH,3152,VIC,holytrinity@theircare.com.au,405614862,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005154,Eltham East Out of School Hours Care,PR-00002693,Eltham East Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,16 Grove Street,,ELTHAM,3095,VIC,eltham.east.ps@edumail.vic.gov.au,03 9431 2228,PO Box 396,ELTHAM,Exceeding NQS
SE-00005155,Blackburn PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,185 Whitehorse Road,,BLACKBURN,3130,VIC,blackburn@theircare.com.au,1300072410,Level 8 1341,CHADSTONE,Exceeding NQS
SE-00005156,Camp Australia - Yarra Road Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,222-228 Yarra Road,,CROYDON,3136,VIC,opsadmin@campaustralia.com.au,452247163,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005157,Camp Australia - Chatham Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,47A Weybridge Street,,SURREY HILLS,3127,VIC,opsadmin@campaustralia.com.au,402521853,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005158,Complete Kids OSHC Killara,PR-00002469,Just Kids (Aust) Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,61 Phillip Drive,,SUNBURY,3429,VIC,info@completekids.net,408548678,PO Box 947,SUNBURY,Meeting NQS
SE-00005159,Glen Katherine Primary School Year Round Care Program,PR-00002694,Glen Katherine Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Calendonia Drive,,ELTHAM NORTH,3095,VIC,seivers.narelle.N1@edumail.vic.gov.au,03 9431 2503,Calendonia Drive,ELTHAM NORTH,Meeting NQS
SE-00005161,Camp Australia - Camelot Rise Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Galahad Crescent,,GLEN WAVERLEY,3150,VIC,opsadmin@campaustralia.com.au,438593298,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005162,Camp Australia - Donburn Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Colchester Drive,,DONCASTER EAST,3109,VIC,opsadmin@campaustralia.com.au,402467030,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005163,Kyabram P-12 College Outside School Hours Care,PR-00002696,Kyabram P-12 College,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,33-35 Haslem Street,,KYABRAM,3620,VIC,prior.jan.a@edumail.vic.gov.au,358512100,PO Box 384,KYABRAM,Working Towards NQS
SE-00005165,Camp Australia - Heathmont East Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Louis Street,,HEATHMONT EAST,3135,VIC,opsadmin@campaustralia.com.au,452247733,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005167,Camp Australia - St Jude the Apostle School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,53 George Street,,SCORESBY,3179,VIC,opsadmin@campaustralia.com.au,452247867,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005171,Camp Australia - St Andrews Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,110 Greaves Street North,,WERRIBEE,3030,VIC,opsadmin@campaustralia.com.au,412001494,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005172,St Michael's PS OSHC - Extend,PR-00002530,Extend (Australia) Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,268 High Street,,ASHBURTON,3147,VIC,enquiries@extend.com.au,1300366437,30-32 Hull St,RICHMOND,Exceeding NQS
SE-00005173,Camp Australia - Ferntree Gully North Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,111 Forest Road,,FERNTREE GULLY,3156,VIC,opsadmin@campaustralia.com.au,423794680,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005174,Jells Park Primary OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,Petronella Avenue,,WHEELERS HILL,3150,VIC,jagvicsa@junioradventuresgroup.com.au,422032371,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005176,Cambridge Primary School Out Of School Hours Care Program,PR-00002698,Cambridge Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Carruthers Drive,,HOPPERS CROSSING,3029,VIC,mccahill.tracie.t@edumail.vic.gov.au,397489011,PO Box 1063,WERRIBEE,Exceeding NQS
SE-00005177,Camp Australia - Blackburn Lake Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Florence Street,,BLACKBURN,3130,VIC,opsadmin@campaustralia.com.au,423794541,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005178,Camp Australia - Templeton Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Crestdale Road,,WANTIRNA,3152,VIC,opsadmin@campaustralia.com.au,452247739,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005179,Hurstbridge Primary OSHC,PR-00002697,Hurstbridge Primary School OSHC,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Main Road,,HURSTBRIDGE,3099,VIC,coffey.cheryl.c@edumail.vic.gov.au,397181901,Main Road,HURSTBRIDGE,Meeting NQS
SE-00005181,Camp Australia - Mountain Gate Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Adele Avenue,,FERNTREE GULLY,3156,VIC,opsadmin@campaustralia.com.au,450776540,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005182,Ivanhoe Primary Out of School Hours Care Program,PR-00002699,Ivanhoe Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Tate Street & Ailsa Grove,,IVANHOE,3079,VIC,iposhc@optusnet.com.au,03 9499 5226,Unit 98 93-103,PRESTON,Meeting NQS
SE-00005183,Camp Australia - Scotch College OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Callantina Road,,HAWTHORN,3122,VIC,opsadmin@campaustralia.com.au,401385843,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005185,Montrose PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Leith Road,,MONTROSE,3765,VIC,montrose@theircare.com.au,438526731,Level 8 1341,CHADSTONE,Exceeding NQS
SE-00005186,Camp Australia - Glen Waverley Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,774 High Street,,GLEN WAVERLEY,3150,VIC,opsadmin@campaustralia.com.au,422009098,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005188,Camp Australia - Holy Family Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,250 Stephensons Rd,,MOUNT WAVERLEY,3149,VIC,opsadmin@campaustralia.com.au,423795051,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005189,Tinternvale OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,Tintern Avenue,,RINGWOOD EAST,3135,VIC,jagvicsa@junioradventuresgroup.com.au,413242876,"Suite 2, Level 1",CAMBERWELL,Exceeding NQS
SE-00005190,Mitcham OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,294 Mitcham Road,,MITCHAM,3132,VIC,jagvicsa@junioradventuresgroup.com.au,422097497,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005192,Camp Australia - Sacred Heart Oakleigh OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,2-4 Mora Avenue,,OAKLEIGH SOUTH,3167,VIC,Opsadmin@campaustralia.com.au,401188896,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005193,Good Shepherd Lutheran OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,53-57 Plymouth Road,,CROYDON HILLS,3136,VIC,jagvicsa@junioradventuresgroup.com.au,423777355,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005194,Kelly Club OSHC Aitken College,PR-40002637,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Private for profit,VIC,Centre-Based Care,2012/1/1,1010 Mickleham Road,,GREENVALE,3059,VIC,aitken@kellycluboshc.com.au,393842204,PO Box 71,MOONEE VALE,Meeting NQS
SE-00005195,Carey OSHClub Kew,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,Barkers Road,,KEW,3101,VIC,jagvicsa@junioradventuresgroup.com.au,423777331,"Suite 2, Level 1",CAMBERWELL,Exceeding NQS
SE-00005196,Camp Australia - Brandon Park Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Cootamundra Drive,,WHEELERS HILL,3150,VIC,opsadmin@campaustralia.com.au,423794783,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005197,Camp Australia - Clayton North Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,1714 Dandenong Road,,CLAYTON NORTH,3168,VIC,opsadmin@campaustralia.com.au,424465192,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005198,Watsonia North Primary School Out of School Hours Program,PR-00002701,Watsonia North Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,16 Sharpes Road,,WATSONIA,3087,VIC,cc@wats-north.vic.edu.au,394323213,16 Sharpes Road,WATSONIA,Exceeding NQS
SE-00005199,Big Childcare - Manor Lakes P-12 College OSHC,PR-40004334,Big Childcare Pty Ltd ATF Big Childcare Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,2 - 50 Minindee Road,,WYNDHAM VALE,3024,VIC,manorlakes@bigchildcare.com,386829400,PO Box 343,NIDDRIE,Meeting NQS
SE-00005200,Camp Australia - Glendal Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,55 Nottingham Street,,GLEN WAVERLEY,3150,VIC,opsadmin@campaustralia.com.au,423794695,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005201,Camp Australia - Ivanhoe Grammar OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,The Ridgeway,,IVANHOE,3079,VIC,opsadmin@campaustralia.com.au,401053531,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005203,Camp Australia - Woodville Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,33 - 57 Warringa Crescent,,HOPPERS CROSSING,3029,VIC,opsadmin@campaustralia.com.au,406935359,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005204,Camp Australia - St Dominics Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,145 Highfield Road,,CAMBERWELL EAST,3124,VIC,opsadmin@campaustralia.com.au,428522449,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005205,Camp Australia - The Knox School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,220 Burwood Highway,,WANTIRNA SOUTH,3152,VIC,opsadmin@campaustralia.com.au,412801010,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005206,After The Bell Aus- Ruyton Girls School,PR-40005656,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,12 Selbourne Road,,KEW,3101,VIC,admin@afterthebell.com.au,397586744,PO Box 7082,UPPER FERNTREE GULLY,Meeting NQS
SE-00005207,TeamKids - Camberwell Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Camberwell Road,,CAMBERWELL,3124,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Exceeding NQS
SE-00005208,Camp Australia - Genazzano Girls School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,301 Cotham Road,,KEW,3101,VIC,opsadmin@campaustralia.com.au,413944342,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005209,Mildura West Primary OSHC,PR-00002703,Mildura West Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Ninth Street,,MILDURA,3500,VIC,oshc@mildurawestps.vic.edu.au,350231336,Ninth Street,MILDURA,Working Towards NQS
SE-00005210,Essendon Fields Kinder Haven,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,35 Bristol Street,,ESSENDON,3040,VIC,essendonfields@kinderhaven.com.au,03 9094 1777,PO Box 515,VARSITY LAKES,Working Towards NQS
SE-00005212,Camp Australia - Mooroolbark East Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Taylor Road,,MOOROOLBARK,3138,VIC,opsadmin@campaustralia.com.au,434616327,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005213,Errol Street North Melbourne Primary Outside School Hours Care,PR-00002704,Errol Street North Melbourne Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,210 Errol Street,,NORTH MELBOURNE,3051,VIC,ohsc@netspace.net.au,03 9329 5529,210 Errol Street,NORTH MELBOURNE,Exceeding NQS
SE-00005214,Camp Australia - Bendigo Violet Street Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Old Violet Street,,BENDIGO,3550,VIC,opsadmin@campaustralia.com.au,408592784,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005215,Stepping Stones - St Therese's OSHC,PR-00005963,Duerinckx Enterprises Pty Ltd ATF Duerinckx Futures Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,Albion Street,,KENNINGTON,3550,VIC,linda@sharingthecare.com.au,364253499,PO Box 70,ULVERSTONE,Working Towards NQS
SE-00005216,Camp Australia - Balwyn North Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Buchanan Avenue,,BALWYN NORTH,3104,VIC,opsadmin@campaustralia.com.au,402350478,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005217,Camp Australia - St Clement of Rome School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,9 Egan Drive,,BULLEEN,3105,VIC,opsadmin@campaustralia.com.au,412001259,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005218,Teddy Bear FDC Scheme,PR-00002706,Teddy Bear Family Day Care Pty Ltd,Private for profit,VIC,Family Day Care,2012/1/1,117 Paisley St,,FOOTSCRAY,3011,VIC,teddybearfdc@gmail.com,396878505,321-323 Barkly Street,FOOTSCRAY,Meeting NQS
SE-00005219,Carey Donvale OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,9 Era Court,,DONVALE,3111,VIC,jagvicsa@junioradventuresgroup.com.au,431532200,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005220,Camp Australia - Belle Vue Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,20 Highview Road,,BALWYN NORTH,3104,VIC,opsadmin@campaustralia.com.au,401006481,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005221,Camp Australia - Springside Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Becca Way,,CAROLINE SPRINGS,3023,VIC,opsadmin@campaustralia.com.au,434276349,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005222,Kialla Central Primary School,PR-00002707,Kialla Central Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,128 Central Kialla Road,,KIALLA,3631,VIC,kialla.central.ps@edumail.vic.gov.au,03 5827 1373,128 Central Kialla Road,KIALLA,Working Towards NQS
SE-00005223,Toolamba Outside School Hours Care,PR-00002708,Toolamba Primary School School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Wren Street,,TOOLAMBA,3614,VIC,toolamba.ps@edumail.vic.gov.au,03 5826 5212,Wren Street,TOOLAMBA,Meeting NQS
SE-00005224,Kialla West Primary School OSHC,PR-00002709,Kialla West Primary School OSHC,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,7370 Goulburn Valley Highway,,SHEPPARTON,3630,VIC,teague.wesley.g@edumail.vic.gov.au,03 5823 1333,7370 Goulburn Valley Highway,KIALLA WEST,Meeting NQS
SE-00005225,Reservoir West Primary School Council,PR-00002710,Reservoir West Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,5a Carrington Road,,RESERVOIR,3073,VIC,collins.valerie.e@edumail.vic.gov.au,394785238,5A Carrington Road,RESERVOIR,Meeting NQS
SE-00005226,Bentleigh Child Care,PR-00002702,Russan PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,20-24 Brewer Road,,BENTLEIGH,3204,VIC,reception@bentleighchildcare.com.au,395576700,20-24 Brewer Road,BENTLEIGH,Meeting NQS
SE-00005227,Camp Australia - St Joachims Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,25 Broderick Road,,CARRUM DOWNS,3201,VIC,opsadmin@campaustralia.com.au,423793628,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005228,Camp Australia - Cranbourne South Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Pearcedale Road,,CRANBOURNE SOUTH,3977,VIC,opsadmin@campaustralia.com.au,422009078,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005229,Oakbrook Kindergarten,PR-00001879,TRY AUSTRALIA CHILDREN'S SERVICES,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,36 Holroyd Drive,,EPPING,3076,VIC,oakbrook@try.org.au,394011695,"Rear, 1st Floor",Mt Waverley,Meeting NQS
SE-00005230,Camp Australia - St Kevins College Toorak OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,75 Lansell Road,,TOORAK,3142,VIC,opsadmin@campaustralia.com.au,412203191,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005231,Camp Australia - Mount Eliza North Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Moseley Drive,,MOUNT ELIZA,3930,VIC,opsadmin@campaustralia.com.au,412204683,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005232,Camp Australia - Ascot Vale Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Bank Street,,ASCOT VALE,3032,VIC,opsadmin@campaustralia.com.au,423795247,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005233,Camp Australia - Werribee Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Deutgam Street,,WERRIBEE,3030,VIC,opsadmin@campaustralia.com.au,403039487,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005234,Camp Australia - Ballam Park Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,47 Belar Avenue,,FRANKSTON,3199,VIC,opsadmin@campaustralia.com.au,402354584,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005237,Our Lady of the Assumption Cheltenham OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/30,9 Centre Dandenong Road,,CHELTENHAM,3192,VIC,jagvicsa@junioradventuresgroup.com.au,478100455,"Suite 2, Level 1",CAMBERWELL,Working Towards NQS
SE-00005238,Camp Australia - Oatlands Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,79-93 Kurrajong Road,,NARRE WARREN,3805,VIC,opsadmin@campaustralia.com.au,452247965,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005240,Camp Australia - Mount View Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Shepherd Rd,,GLEN WAVERLEY,3150,VIC,opsadmin@campaustralia.com.au,402680015,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005241,Greenhills OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,8 Mine Street,,GREENSBOROUGH,3088,VIC,jagvicsa@junioradventuresgroup.com.au,429176155,"Suite 2, Level 1",CAMBERWELL,Exceeding NQS
SE-00005242,Camp Australia - Fintona Girls School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,82 Balwyn Road,,BALWYN,3103,VIC,opsadmin@campaustralia.com.au,401254394,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005243,Camp Australia - Balcombe Grammar OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,389 Nepean Highway,,MOUNT MARTHA,3934,VIC,opsadmin@campaustralia.com.au,401001064,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005244,Beveridge Primary School Combined OSHC,PR-00002715,Beveridge Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,120 Arrowsmith Street,,BEVERIDGE,3753,VIC,beveridge.ps@edumail.vic.gov.au,03 9745 2264,Arrowsmith Street,BEVERIDGE,Meeting NQS
SE-00005247,St Benedict's PS OSHC - Extend,PR-00002530,Extend (Australia) Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,3-9 Central Ave,,BURWOOD,3125,VIC,enquiries@extend.com.au,1300366437,30-32 Hull St,RICHMOND,Meeting NQS
SE-00005250,Yarraman Oaks Primary School,PR-00002716,Yarraman Oaks Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,27 Liege Avenue,,NOBLE PARK,3174,VIC,yarraman.park.ps@edumail.vic.gov.au,397924406,27 Liege Avenue,NOBLE PARK,Working Towards NQS
SE-00005252,Stepping Stones Mooroopna OSHC,PR-00005963,Duerinckx Enterprises Pty Ltd ATF Duerinckx Futures Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,O'Brien Street,,MOOROOPNA,3629,VIC,linda@sharingthecare.com.au,364253499,PO Box 70,ULVERSTONE,Working Towards NQS
SE-00005253,Fairfield Primary School OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,Langridge Street,,FAIRFIELD,3078,VIC,jagvicsa@junioradventuresgroup.com.au,432680504,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005254,Camp Australia - St Thomas the Apostle Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,67 Central Road,,BLACKBURN,3130,VIC,opsadmin@campaustralia.com.au,402273977,1731 Malvern Rd,GLEN IRIS,Meeting NQS
