Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Big Childcare - Keilor Heights Primary School OSHC,Private for profit,3033,KEILOR EAST,keilorheights@bigchildcare.com,386829400,Meeting NQS,Ronald Grove KEILOR EAST 3033 VIC,"(-37.737755, 144.8677405)"
Seabrook OSHClub,Private for profit,3028,SEABROOK,jagvicsa@junioradventuresgroup.com.au,411302879,Meeting NQS,83 Point Cook Road SEABROOK 3028 VIC,"(-37.8783973, 144.7576252)"
Newport Gardens Primary OSHClub,Private for profit,3015,NEWPORT,jagvicsa@junioradventuresgroup.com.au,411656074,Meeting NQS,Cnr Maddox Road & Woods Street NEWPORT 3015 VIC,"(-37.8497073, 144.8682039)"
Williamstown North OSHClub,Private for profit,3016,WILLIAMSTOWN,jagvicsa@junioradventuresgroup.com.au,422236845,Meeting NQS,Melbourne Road WILLIAMSTOWN 3016 VIC,"(-37.8553369, 144.8919102)"
San Remo Primary School Outside School Hours Care,State/Territory government schools,3925,SAN REMO,san.remo.ps@edumail.vic.gov.au,356785354,Working Towards NQS,22 Bergin Grove SAN REMO 3925 VIC,"(-38.523411, 145.369317)"
After The Bell Aus- St Catherine’s Toorak,Private for profit,3142,TOORAK,admin@afterthebell.com.au,397586744,Meeting NQS,27 Heyington Place TOORAK 3142 VIC,"(-37.83761399999999, 145.0218119)"
Dandenong Family Day Care,Private not for profit community managed,3175,DANDENONG NORTH,deborah@dandenongcommunityfdc.com.au,397933499,Meeting NQS,1 Anthony Street DANDENONG NORTH 3175 VIC,"(-37.967818, 145.214291)"
St Michaels Grammar School,Independent schools,3182,ST KILDA,osc@stmichaels.vic.edu.au,385303340,Meeting NQS,25 Chapel Street ST KILDA 3182 VIC,"(-37.8593715, 144.9916052)"
Queen of Peace OSHClub,Private for profit,3028,ALTONA MEADOWS,jagvicsa@junioradventuresgroup.com.au,421287254,Meeting NQS,62 Everingham Road ALTONA MEADOWS 3028 VIC,"(-37.8756762, 144.7914473)"
Aussie Kindies Early Learning Frankston,Private for profit,3199,FRANKSTON,compliance@affinityeducation.com.au,97834636,Meeting NQS,20 Reservoir Road FRANKSTON 3199 VIC,"(-38.1503234, 145.1415928)"
St Augustines OSHClub,Private for profit,3013,YARRAVILLE,jagvicsa@junioradventuresgroup.com.au,432574550,Exceeding NQS,71 Somerville Road YARRAVILLE 3013 VIC,"(-37.8134999, 144.8892155)"
Corpus Christi OSHClub,Private for profit,3012,WEST FOOTSCRAY,jagvicsa@junioradventuresgroup.com.au,401501661,Meeting NQS,380 Geelong Road WEST FOOTSCRAY 3012 VIC,"(-37.80893440000001, 144.8728067)"
Williamstown OSHClub,Private for profit,3016,WILLIAMSTOWN,jagvicsa@junioradventuresgroup.com.au,413619019,Exceeding NQS,Cecil Street WILLIAMSTOWN 3016 VIC,"(-37.8650367, 144.9036402)"
Corangamite Shire Family Day Care,State/Territory and Local Government managed,3260,CAMPERDOWN,familydaycare@corangamite.vic.gov.au,355937100,Meeting NQS,181 Manifold Street CAMPERDOWN 3260 VIC,"(-38.232448, 143.146242)"
Camp Australia - Altona North Primary School OSHC,Private for profit,3025,ALTONA NORTH,opsadmin@campaustralia.com.au,412001589,Meeting NQS,Cresser Street ALTONA NORTH 3025 VIC,"(-37.8370223, 144.8513772)"
Warragul North Primary School Outside School Hours Care,State/Territory government schools,3820,WARRAGUL,warragul.north.ps@edumail.vic.gov.au,03 5623 4066,Exceeding NQS,O'Dowds Road WARRAGUL 3820 VIC,"(-38.1483946, 145.9398154)"
Camp Australia - Moonee Ponds West Primary School OSHC,Private for profit,3039,MOONEE PONDS,opsadmin@campaustralia.com.au,414801892,Working Towards NQS,150 Athol Street MOONEE PONDS 3039 VIC,"(-37.76889329999999, 144.9093154)"
Camp Australia - Ascot Vale West Primary School OSHC,Private for profit,3032,ASCOT VALE,opsadmin@campaustralia.com.au,421445967,Meeting NQS,Langs Road ASCOT VALE 3032 VIC,"(-37.7820968, 144.9089635)"
Camp Australia - Cairnlea Park Primary School OSHC,Private for profit,3023,CAIRNLEA,opsadmin@campaustralia.com.au,423795208,Working Towards NQS,Carmody Drive CAIRNLEA 3023 VIC,"(-37.7604305, 144.7881024)"
Camp Australia - Caroline Springs Brookside P-9 College OSHC,Private for profit,3023,CAROLINE SPRINGS,opsadmin@campaustralia.com.au,434422302,Working Towards NQS,Federation Way CAROLINE SPRINGS 3023 VIC,"(-37.7464002, 144.7358808)"
St Joseph's Primary School OSHC,Private for profit,3144,MALVERN,enquiries@extend.com.au,1300366437,Exceeding NQS,49 Stanhope Road MALVERN 3144 VIC,"(-37.8580187, 145.0312946)"
Lockwood South Combined Outside School Hours Care,State/Territory government schools,3551,LOCKWOOD SOUTH,torney.adam.r@edumail.vic.gov.au,354353293,Meeting NQS,710 Calder Alternate Highway LOCKWOOD SOUTH 3551 VIC,"(-36.8415384, 144.15688)"
Camp Australia - Essendon Primary School OSHC,Private for profit,3040,ESSENDON,opsadmin@campaustralia.com.au,405776257,Meeting NQS,Raleigh Street ESSENDON 3040 VIC,"(-37.7533197, 144.9221724)"
Pender's Grove Primary School Combined OSHC,State/Territory government schools,3071,THORNBURY,casey.imogen.i@edumail.vic.gov.au,394841076,Working Towards NQS,370 Victoria Road THORNBURY 3071 VIC,"(-37.7547982, 145.0143392)"
Camp Australia - Preston North East Primary School OSHC,Private for profit,3072,PRESTON,opsadmin@campaustralia.com.au,452247691,Working Towards NQS,93 Tyler Street PRESTON 3072 VIC,"(-37.733588, 145.029469)"
Golden Plains Family Day Care,State/Territory and Local Government managed,3331,BANNOCKBURN,enquiries@gplains.vic.gov.au,352207230,Working Towards NQS,2A Pope Street BANNOCKBURN 3331 VIC,"(-38.0507199, 144.1733107)"
Strathmore Nth PS TheirCare,Private for profit,3041,STRATHMORE,strathmorenth@theircare.com.au,447003640,Meeting NQS,Mascoma St STRATHMORE 3041 VIC,"(-37.7230171, 144.9128078)"
Youth Leadership Victoria - St Brendan's Primary School OSHC,Private not for profit community managed,3031,FLEMINGTON,rita@ylv.com.au,400796518,Meeting NQS,103 Wellington Street FLEMINGTON 3031 VIC,"(-37.784705, 144.9316331)"
TeamKids - Niddrie Primary,Private for profit,3042,NIDDRIE,info@teamkids.com.au,1300035000,Meeting NQS,Watt Street NIDDRIE 3042 VIC,"(-37.731292, 144.8792766)"
Moonee Ponds OSHClub,Private for profit,3039,MOONEE PONDS,jagvicsa@junioradventuresgroup.com.au,448043164,Meeting NQS,Wilson Street MOONEE PONDS 3039 VIC,"(-37.7633784, 144.9324948)"
Strathmore PS TheirCare,Private for profit,3041,STRATHMORE,strathmore@theircare.com.au,477011296,Working Towards NQS,Lloyd Street STRATHMORE 3041 VIC,"(-37.7355407, 144.9160204)"
Baw Baw Shire Family Day Care,State/Territory and Local Government managed,3820,WARRAGUL,caroline.halliday@bawbawshire.vic.gov.au,356250216,Exceeding NQS,144 Normanby Street WARRAGUL 3820 VIC,"(-38.1588512, 145.9403685)"
Camp Australia - Kingsville Primary School OSHC,Private for profit,3012,KINGSVILLE,opsadmin@campaustralia.com.au,401054261,Meeting NQS,58 Bishop Street KINGSVILLE 3012 VIC,"(-37.8123913, 144.8741534)"
Camp Australia - Baden Powell P-9 College Derrimut Heath Campus OSHC,Private for profit,3029,HOPPERS CROSSING,opsadmin@campaustralia.com.au,401148414,Meeting NQS,31 Sycamore Street HOPPERS CROSSING 3029 VIC,"(-37.8594447, 144.6913095)"
City Of Ballarat Family Day Care,State/Territory and Local Government managed,3350,BALLARAT CENTRAL,rebeccakarslake@ballarat.vic.gov.au,353205170,Meeting NQS,Parent Place 39 Sturt Street BALLARAT CENTRAL 3350 VIC,"(-37.5626575, 143.8591347)"
Melton OSHClub,Private for profit,3337,MELTON,jagvicsa@junioradventuresgroup.com.au,432018557,Meeting NQS,Unitt Street MELTON 3337 VIC,"(-37.6818497, 144.5828946)"
James Cook PS TheirCare,Private for profit,3802,ENDEAVOUR HILLS,jamescook@theircare.com.au,1300366437,Meeting NQS,29-59 James Cook Drive ENDEAVOUR HILLS 3802 VIC,"(-37.97882930000001, 145.2457676)"
Tylden Primary School OSHC,State/Territory government schools,3444,TYLDEN,tylden.ps@edumail.vic.gov.au,03 5424 8244,Exceeding NQS,11 Clowes St TYLDEN 3444 VIC,"(-37.3251194, 144.4090162)"
St Mary of the Assumption OSHC Kealba,Catholic schools,3021,KEALBA,maryz@spkealba.catholic.edu.au,450451909,Meeting NQS,230 Sunshine Avenue KEALBA 3021 VIC,"(-37.7339484, 144.8197288)"
Yarraville West Primary School OSHC Program,State/Territory government schools,3013,YARRAVILLE,yarraville.west.ps@edumail.vic.gov.au,393149738,Meeting NQS,14 - 30 Powell Street YARRAVILLE 3013 VIC,"(-37.8151546, 144.8851967)"
Camp Australia - Baden Powell P-9 College Tarneit OSHC,Private for profit,3029,TARNEIT,opsadmin@campaustralia.com.au,401188868,Meeting NQS,Baden Powell Drive TARNEIT 3029 VIC,"(-37.841638, 144.6965947)"
Camp Australia - St Paul's Primary School OSHC,Private for profit,3020,SUNSHINE WEST,opsadmin@campaustralia.com.au,401362738,Exceeding NQS,Links Street SUNSHINE WEST 3020 VIC,"(-37.7878021, 144.8080066)"
Camp Australia - Iramoo Primary School OSHC,Private for profit,3024,WYNDHAM VALE,opsadmin@campaustralia.com.au,434610133,Meeting NQS,McGrath Road WYNDHAM VALE 3024 VIC,"(-37.8872911, 144.6312852)"
Camp Australia - St Mary's Altona Primary School OSHC,Private for profit,3018,ALTONA,opsadmin@campaustralia.com.au,438052938,Meeting NQS,95A Railway Street ALTONA 3018 VIC,"(-37.8671218, 144.8285016)"
Marlborough Primary School Out of School Care,State/Territory government schools,3135,HEATHMONT EAST,oshc.marlborough.ps@education.vic.gov.au,398760389,Working Towards NQS,Hardy Crescent HEATHMONT EAST 3135 VIC,"(-37.8362675, 145.2327488)"
Camp Australia - Somerville Rise Primary School OSHC,Private for profit,3912,SOMERVILLE,opsadmin@campaustralia.com.au,405440124,Meeting NQS,Blacks Camp Road SOMERVILLE 3912 VIC,"(-38.230896, 145.1705937)"
"Pakenham Consolidated School Learn, Explore and Play",State/Territory government schools,3810,PAKENHAM,ohsc.pakenham.cs@edumail.vic.gov.au,359457117,Meeting NQS,2 Rundell Way PAKENHAM 3810 VIC,"(-38.066199, 145.465382)"
Bendigo Family Day Care,Private not for profit community managed,3555,KANGAROO FLAT,terriekillen@bchs.com.au,354061200,Working Towards NQS,13 Helm Street KANGAROO FLAT 3555 VIC,"(-36.7973437, 144.2396867)"
Camp Australia - Somerville Primary School OSHC,Private for profit,3912,SOMERVILLE,opsadmin@campaustralia.com.au,402355057,Meeting NQS,Eramosa Road East SOMERVILLE 3912 VIC,"(-38.2238859, 145.1985901)"
TeamKids - McKinnon Primary,Private for profit,3204,MCKINNON,info@teamkids.com.au,1300035000,Meeting NQS,253 Tucker Road MCKINNON 3204 VIC,"(-37.9079538, 145.0524282)"
Cire Outside School Hours Care Yarra Junction,Private not for profit community managed,3797,YARRA JUNCTION,childrenscentre@cire.org.au,359672776,Exceeding NQS,41 Little Yarra Road YARRA JUNCTION 3797 VIC,"(-37.7864866, 145.6173777)"
Aspendale Gardens PS TheirCare,Private for profit,3195,ASPENDALE GARDENS,soniaz@theircare.com.au,405614862,Meeting NQS,96 Kearney Street ASPENDALE GARDENS 3195 VIC,"(-38.02247, 145.11676)"
Camp Australia - Langwarrin Park Primary School OSHC,Private for profit,3910,LANGWARRIN,opsadmin@campaustralia.com.au,423793480,Meeting NQS,North Gateway LANGWARRIN 3910 VIC,"(-38.1504509, 145.2045317)"
Camp Australia - Tucker Road Primary School OSHC,Private for profit,3204,BENTLEIGH,opsadmin@campaustralia.com.au,405439382,Exceeding NQS,16 Tucker Road BENTLEIGH 3204 VIC,"(-37.9336303, 145.0485791)"
Camp Australia - Coatesville Primary School OSHC,Private for profit,3165,EAST BENTLEIGH,opsadmin@campaustralia.com.au,409007452,Meeting NQS,Mackie Road EAST BENTLEIGH 3165 VIC,"(-37.91592989999999, 145.0746656)"
St Mary’s Ascot Vale  CPS TheirCare,Private for profit,3032,ASCOT VALE,stmarysascotvale@theircare.com.au,405614862,Meeting NQS,74 Roseberry Street ASCOT VALE 3032 VIC,"(-37.7742251, 144.9109985)"
Camberwell Girls Grammar OSHC - Extend,Private for profit,3126,CANTERBURY,support@extend.com.au,1300366437,Meeting NQS,4 Mont Albert Road CANTERBURY 3126 VIC,"(-37.8164357, 145.0612822)"
Camp Australia - Mount Waverley Primary School OSHC,Private for profit,3149,MOUNT WAVERLEY,opsadmin@campaustralia.com.au,426631940,Meeting NQS,37-45 Park Lane MOUNT WAVERLEY 3149 VIC,"(-37.881374, 145.124006)"
Camp Australia - Sandringham Primary School OSHC,Private for profit,3191,SANDRINGHAM,opsadmin@campaustralia.com.au,421916062,Exceeding NQS,Bamfield Street SANDRINGHAM 3191 VIC,"(-37.94759210000001, 145.0053414)"
Robinvale Out of School Hours Program,Private not for profit community managed,3549,ROBINVALE,chinterholzl@rdhs.com.au,0448 200 177,Exceeding NQS,13 Watkins Street ROBINVALE 3549 VIC,"(-34.5845753, 142.777584)"
Aberdeen Street Early Learning & Kinder,Private for profit,3220,NEWTOWN,director@aberdeenstreetelc.com.au,352217580,Meeting NQS,19 Aberdeen Street NEWTOWN 3220 VIC,"(-38.1473328, 144.3494908)"
Camp Australia - Kings Park Primary School OSHC,Private for profit,3021,KINGS PARK,opsadmin@campaustralia.com.au,431624218,Meeting NQS,128 B Gillespie Road KINGS PARK 3021 VIC,"(-37.7333975, 144.7669153)"
St Peter's East Keilor OSHClub,Private for profit,3033,KEILOR EAST,jagvicsa@junioradventuresgroup.com.au,432212823,Meeting NQS,2A Parkside Avenue KEILOR EAST 3033 VIC,"(-37.7444257, 144.8597144)"
Holy Saviour OSHC - Vermont South,Private for profit,3133,VERMONT SOUTH,shayan.alinejad@gmail.com,431423109,Meeting NQS,765 Highbury Road VERMONT SOUTH 3133 VIC,"(-37.8625287, 145.1748039)"
Camp Australia - Templestowe Park Primary School OSHC,Private for profit,3106,TEMPLESTOWE,opsadmin@campaustralia.com.au,421570181,Meeting NQS,399 Church Road TEMPLESTOWE 3106 VIC,"(-37.755941, 145.1433259)"
Camp Australia - Holy Eucharist School OSHC,Private for profit,3021,ST ALBANS,opsadmin@campaustralia.com.au,402390969,Meeting NQS,1A Oleander Drive ST ALBANS 3021 VIC,"(-37.7566406, 144.8118371)"
Swan Hill Out of School Hours,State/Territory and Local Government managed,3585,SWAN HILL,rcarmichael@swanhill.vic.gov.au,03 5036 2321,Exceeding NQS,Gray Street SWAN HILL 3585 VIC,"(-35.3467398, 143.5476285)"
Play 'N' Grow Early Learning Centre and Kindergarten,Private for profit,3201,CARRUM DOWNS,playngrow@sparrowearlylearning.com.au,397830082,Exceeding NQS,100-104 Brunnings Road CARRUM DOWNS 3201 VIC,"(-38.0956881, 145.1975847)"
Camp Australia - Auburn South Primary School OSHC,Private for profit,3123,HAWTHORN EAST,opsadmin@campaustralia.com.au,452247850,Meeting NQS,419 Tooronga Road HAWTHORN EAST 3123 VIC,"(-37.8395225, 145.0455568)"
Camp Australia - Templestowe Heights Primary School OSHC,Private for profit,3107,TEMPLESTOWE LOWER,opsadmin@campaustralia.com.au,404806045,Meeting NQS,High Street TEMPLESTOWE LOWER 3107 VIC,"(-37.7712466, 145.1161126)"
Camp Australia - Selby Primary School OSHC,Private for profit,3159,SELBY,opsadmin@campaustralia.com.au,434422455,Exceeding NQS,2 Morley Street SELBY 3159 VIC,"(-37.9112113, 145.3665137)"
Big Childcare - Kensington PS OSHC,Private for profit,3031,KENSINGTON,kensington@bigchildcare.com,386829400,Meeting NQS,McCracken Street KENSINGTON 3031 VIC,"(-37.79175559999999, 144.9276991)"
V.I.P. Family Day Care Pty Ltd,Private for profit,3029,HOPPERS CROSSING,vipfdc@vipfdc.com.au,393600689,Working Towards NQS,29-31 Industrial Ave HOPPERS CROSSING 3029 VIC,"(-37.8676047, 144.7285163)"
Lockwood Primary School Outside School Hours Care,State/Territory government schools,3551,LOCKWOOD,lockwood.ps@edumail.vic.gov.au,03 5435 3224,Working Towards NQS,190 Wiegards Road LOCKWOOD 3551 VIC,"(-36.8025921, 144.1617152)"
Kingswood College OSHClub,Private for profit,3128,BOX HILL,jagvicsa@junioradventuresgroup.com.au,423590610,Meeting NQS,355 Station Street BOX HILL 3128 VIC,"(-37.8324488, 145.1207056)"
Our Village Family Childcare,Private not for profit other organisations,3429,SUNBURY,ourvillage@sunburychc.org.au,397444455,Meeting NQS,12-28 Macedon Street SUNBURY 3429 VIC,"(-37.5789735, 144.7326653)"
St Monica's Primary YMCA Outside School Hours Care,Private not for profit other organisations,3555,KANGAROO FLAT,maya.wood@ymca.org.au,354446666,Meeting NQS,91 High Street KANGAROO FLAT 3555 VIC,"(-36.7944586, 144.2447681)"
Doncaster Primary School OSHC - Extend,Private for profit,3108,DONCASTER,amy@extend.com.au,1300366437,Meeting NQS,2-12 Council Street DONCASTER 3108 VIC,"(-37.7859772, 145.1297605)"
Camp Australia - Oakleigh South Primary School OSHC,Private for profit,3167,OAKLEIGH SOUTH,opsadmin@campaustralia.com.au,401253558,Meeting NQS,Riley Street OAKLEIGH SOUTH 3167 VIC,"(-37.9235052, 145.0941356)"
Camp Australia - Serpell Primary School OSHC,Private for profit,3106,TEMPLESTOWE,opsadmin@campaustralia.com.au,424454961,Exceeding NQS,Tuckers Road TEMPLESTOWE 3106 VIC,"(-37.7706621, 145.1556626)"
Our Lady of the Pines OSHCLUB,Private for profit,3111,DONVALE,jagvicsa@junioradventuresgroup.com.au,428762325,Meeting NQS,77 Carbine Street DONVALE 3111 VIC,"(-37.7747758, 145.1780314)"
Camp Australia - Wattleview Primary School OSHC,Private for profit,3156,FERNTREE GULLY,opsadmin@campaustralia.com.au,452247685,Meeting NQS,Wattletree Road FERNTREE GULLY 3156 VIC,"(-37.8740623, 145.2787931)"
Big Childcare - Keilor PS OSHC,Private for profit,3036,KEILOR,keilor@bigchildcare.com,386829400,Exceeding NQS,Kennedy Street KEILOR 3036 VIC,"(-37.7187281, 144.8343336)"
Christ Church Grammar OSHC - Extend,Private for profit,3141,SOUTH YARRA,enquiries@extend.com.au,1300366437,Meeting NQS,677 Punt Road SOUTH YARRA 3141 VIC,"(-37.8391075, 144.9861524)"
Camp Australia - St Gregory the Great School OSHC,Private for profit,3108,DONCASTER,opsadmin@campaustralia.com.au,413594035,Meeting NQS,396 Manningham Road DONCASTER 3108 VIC,"(-37.780234, 145.122582)"
Box Hill North Primary OSHClub,Private for profit,3129,BOX HILL NORTH,jagvicsa@junioradventuresgroup.com.au,432017658,Meeting NQS,Elizabeth Street BOX HILL NORTH 3129 VIC,"(-37.8005392, 145.1235523)"
Knox Gardens Primary OSHClub,Private for profit,3152,WANTIRNA SOUTH,jagvicsa@junioradventuresgroup.com.au,432212821,Exceeding NQS,Argyle Way WANTIRNA SOUTH 3152 VIC,"(-37.8853359, 145.2289742)"
Donvale Primary OSHClub,Private for profit,3111,DONVALE,jagvicsa@junioradventuresgroup.com.au,402362443,Meeting NQS,4 Elata Street DONVALE 3111 VIC,"(-37.8005754, 145.1735793)"
Harkaway Primary School,State/Territory government schools,3806,HARKAWAY,harkaway.ps@edumail.vic.gov.au,397071475,Working Towards NQS,65 - 67 King Road HARKAWAY 3806 VIC,"(-38.0011973, 145.3452158)"
Burwood Heights PS TheirCare,Private for profit,3151,BURWOOD EAST,burwoodheights@theircare.com.au,405614862,Meeting NQS,Corner Hawthorn Road and Mahoneys Road BURWOOD EAST 3151 VIC,"(-37.8473712, 145.1691437)"
Camp Australia - St John Vianney Primary School OSHC,Private for profit,3170,MULGRAVE,opsadmin@campaustralia.com.au,423793662,Meeting NQS,23 Police Rd MULGRAVE 3170 VIC,"(-37.9331189, 145.1592711)"
Baby Bells Child Care Centre,Private for profit,3028,ALTONA MEADOWS,babybells@bigpond.com,383609609,Working Towards NQS,1A Fitzpatrick Drive ALTONA MEADOWS 3028 VIC,"(-37.8705334, 144.7617591)"
Rye PS TheirCare,Private for profit,3941,RYE,rye@theircare.com.au,1300105343,Meeting NQS,Lyons Street RYE 3941 VIC,"(-38.3746782, 144.8239517)"
Big Childcare - Parkwood Green PS OSHC,Private for profit,3037,HILLSIDE,parkwoodgreen@bigchildcare.com,386829400,Meeting NQS,Cnr Gourlay Rd & Community Hub HILLSIDE 3037 VIC,"(-37.7072533, 144.741315)"
Big Childcare - Sydenham/Hillside PS - Hillside Campus,Private for profit,3037,HILLSIDE,hillside@bigchildcare.com,393615473,Exceeding NQS,Wattle Valley Drive HILLSIDE 3037 VIC,"(-37.6866388, 144.7377061)"
Big Childcare �?Sydenham/Hillside Sydenham Campus,Private for profit,3037,SYDENHAM,sydenham@bigchildcare.com,386829400,Exceeding NQS,Community Hub SYDENHAM 3037 VIC,"(-37.7016289, 144.7595161)"
Camp Australia - Lysterfield Primary School OSHC,Private for profit,3156,LYSTERFIELD,opsadmin@campaustralia.com.au,423794779,Meeting NQS,Bellfield Drive LYSTERFIELD 3156 VIC,"(-37.9142602, 145.2744725)"
Camp Australia - St Leonards Primary School OSHC,Private for profit,3150,GLEN WAVERLEY,opsadmin@campaustralia.com.au,413597873,Meeting NQS,349 Springvale Road GLEN WAVERLEY 3150 VIC,"(-37.886817, 145.16424)"
Maroondah Family Day Care,State/Territory and Local Government managed,3134,RINGWOOD,natalie.godley@maroondah.vic.gov.au,392945741,Exceeding NQS,28 Warrandyte Road RINGWOOD 3134 VIC,"(-37.8112393, 145.2309331)"
Holy Trinity CPS TheirCare,Private for profit,3152,WANTIRNA SOUTH,holytrinity@theircare.com.au,405614862,Meeting NQS,10 Riddell Road WANTIRNA SOUTH 3152 VIC,"(-37.877539, 145.243667)"
Eltham East Out of School Hours Care,State/Territory government schools,3095,ELTHAM,eltham.east.ps@edumail.vic.gov.au,03 9431 2228,Exceeding NQS,16 Grove Street ELTHAM 3095 VIC,"(-37.7115945, 145.1550197)"
Blackburn PS TheirCare,Private for profit,3130,BLACKBURN,blackburn@theircare.com.au,1300072410,Exceeding NQS,185 Whitehorse Road BLACKBURN 3130 VIC,"(-37.8175908, 145.1572141)"
Camp Australia - Yarra Road Primary School OSHC,Private for profit,3136,CROYDON,opsadmin@campaustralia.com.au,452247163,Meeting NQS,222-228 Yarra Road CROYDON 3136 VIC,"(-37.766464, 145.272265)"
Camp Australia - Chatham Primary School OSHC,Private for profit,3127,SURREY HILLS,opsadmin@campaustralia.com.au,402521853,Meeting NQS,47A Weybridge Street SURREY HILLS 3127 VIC,"(-37.8173936, 145.0914883)"
Complete Kids OSHC Killara,Private for profit,3429,SUNBURY,info@completekids.net,408548678,Meeting NQS,61 Phillip Drive SUNBURY 3429 VIC,"(-37.564377, 144.704347)"
Glen Katherine Primary School Year Round Care Program,State/Territory government schools,3095,ELTHAM NORTH,seivers.narelle.N1@edumail.vic.gov.au,03 9431 2503,Meeting NQS,Calendonia Drive ELTHAM NORTH 3095 VIC,"(-37.6905796, 145.1395346)"
Camp Australia - Camelot Rise Primary School OSHC,Private for profit,3150,GLEN WAVERLEY,opsadmin@campaustralia.com.au,438593298,Meeting NQS,Galahad Crescent GLEN WAVERLEY 3150 VIC,"(-37.8648985, 145.1861878)"
Camp Australia - Donburn Primary School OSHC,Private for profit,3109,DONCASTER EAST,opsadmin@campaustralia.com.au,402467030,Working Towards NQS,Colchester Drive DONCASTER EAST 3109 VIC,"(-37.7875556, 145.164098)"
Kyabram P-12 College Outside School Hours Care,State/Territory government schools,3620,KYABRAM,prior.jan.a@edumail.vic.gov.au,358512100,Working Towards NQS,33-35 Haslem Street KYABRAM 3620 VIC,"(-36.3169882, 145.0525027)"
Camp Australia - Heathmont East Primary School OSHC,Private for profit,3135,HEATHMONT EAST,opsadmin@campaustralia.com.au,452247733,Exceeding NQS,Louis Street HEATHMONT EAST 3135 VIC,"(-37.8300341, 145.257096)"
Camp Australia - St Jude the Apostle School OSHC,Private for profit,3179,SCORESBY,opsadmin@campaustralia.com.au,452247867,Meeting NQS,53 George Street SCORESBY 3179 VIC,"(-37.8892411, 145.2259045)"
Camp Australia - St Andrews Primary School OSHC,Private for profit,3030,WERRIBEE,opsadmin@campaustralia.com.au,412001494,Meeting NQS,110 Greaves Street North WERRIBEE 3030 VIC,"(-37.9016997, 144.6506814)"
St Michael's PS OSHC - Extend,Private for profit,3147,ASHBURTON,enquiries@extend.com.au,1300366437,Exceeding NQS,268 High Street ASHBURTON 3147 VIC,"(-37.864125, 145.083007)"
Camp Australia - Ferntree Gully North Primary School OSHC,Private for profit,3156,FERNTREE GULLY,opsadmin@campaustralia.com.au,423794680,Meeting NQS,111 Forest Road FERNTREE GULLY 3156 VIC,"(-37.8751837, 145.2988565)"
Jells Park Primary OSHClub,Private for profit,3150,WHEELERS HILL,jagvicsa@junioradventuresgroup.com.au,422032371,Meeting NQS,Petronella Avenue WHEELERS HILL 3150 VIC,"(-37.9035558, 145.1938686)"
Cambridge Primary School Out Of School Hours Care Program,State/Territory government schools,3029,HOPPERS CROSSING,mccahill.tracie.t@edumail.vic.gov.au,397489011,Exceeding NQS,Carruthers Drive HOPPERS CROSSING 3029 VIC,"(-37.8676063, 144.6753186)"
Camp Australia - Blackburn Lake Primary School OSHC,Private for profit,3130,BLACKBURN,opsadmin@campaustralia.com.au,423794541,Working Towards NQS,Florence Street BLACKBURN 3130 VIC,"(-37.8277462, 145.1662659)"
Camp Australia - Templeton Primary School OSHC,Private for profit,3152,WANTIRNA,opsadmin@campaustralia.com.au,452247739,Meeting NQS,Crestdale Road WANTIRNA 3152 VIC,"(-37.8603224, 145.2307426)"
Hurstbridge Primary OSHC,State/Territory government schools,3099,HURSTBRIDGE,coffey.cheryl.c@edumail.vic.gov.au,397181901,Meeting NQS,Main Road HURSTBRIDGE 3099 VIC,"(-37.6403124, 145.1923373)"
Camp Australia - Mountain Gate Primary School OSHC,Private for profit,3156,FERNTREE GULLY,opsadmin@campaustralia.com.au,450776540,Exceeding NQS,Adele Avenue FERNTREE GULLY 3156 VIC,"(-37.8855203, 145.2696565)"
Ivanhoe Primary Out of School Hours Care Program,State/Territory government schools,3079,IVANHOE,iposhc@optusnet.com.au,03 9499 5226,Meeting NQS,Tate Street & Ailsa Grove IVANHOE 3079 VIC,"(36.0689347, -79.80563140000001)"
Camp Australia - Scotch College OSHC,Private for profit,3122,HAWTHORN,opsadmin@campaustralia.com.au,401385843,Meeting NQS,Callantina Road HAWTHORN 3122 VIC,"(-37.8333857, 145.0340312)"
Montrose PS TheirCare,Private for profit,3765,MONTROSE,montrose@theircare.com.au,438526731,Exceeding NQS,Leith Road MONTROSE 3765 VIC,"(-37.8091063, 145.3446571)"
Camp Australia - Glen Waverley Primary School OSHC,Private for profit,3150,GLEN WAVERLEY,opsadmin@campaustralia.com.au,422009098,Meeting NQS,774 High Street GLEN WAVERLEY 3150 VIC,"(-37.8752725, 145.1682851)"
Camp Australia - Holy Family Primary School OSHC,Private for profit,3149,MOUNT WAVERLEY,opsadmin@campaustralia.com.au,423795051,Meeting NQS,250 Stephensons Rd MOUNT WAVERLEY 3149 VIC,"(-37.8745381, 145.1296513)"
Tinternvale OSHClub,Private for profit,3135,RINGWOOD EAST,jagvicsa@junioradventuresgroup.com.au,413242876,Exceeding NQS,Tintern Avenue RINGWOOD EAST 3135 VIC,"(-37.8186193, 145.2659301)"
Mitcham OSHClub,Private for profit,3132,MITCHAM,jagvicsa@junioradventuresgroup.com.au,422097497,Meeting NQS,294 Mitcham Road MITCHAM 3132 VIC,"(-37.808943, 145.192648)"
